,Left-Cerebral-Exterior,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-Exterior,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,Left-Insula,Left-Operculum,Line-1,Line-2,Line-3,CSF,Left-Lesion,Left-Accumbens-area,Left-Substancia-Nigra,Left-VentralDC,Left-undetermined,Left-vessel,Left-choroid-plexus,Left-F3orb,Left-lOg,Left-aOg,Left-mOg
,Left-Cerebral-Exterior,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-Exterior,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,Left-Insula,Left-Operculum,Line-1,Line-2,Line-3,CSF,Left-Lesion,Left-Accumbens-area,Left-Substancia-Nigra,Left-VentralDC,Left-undetermined,Left-vessel,Left-choroid-plexus,Left-F3orb,Left-lOg,Left-aOg,Left-mOg
,Left-Cerebral-Exterior,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-Exterior,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,Left-Insula,Left-Operculum,Line-1,Line-2,Line-3,CSF,Left-Lesion,Left-Accumbens-area,Left-Substancia-Nigra,Left-VentralDC,Left-undetermined,Left-vessel,Left-choroid-plexus,Left-F3orb,Left-lOg,Left-aOg,Left-mOg
,Left-Cerebral-Exterior,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-Exterior,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,Left-Insula,Left-Operculum,Line-1,Line-2,Line-3,CSF,Left-Lesion,Left-Accumbens-area,Left-Substancia-Nigra,Left-VentralDC,Left-undetermined,Left-vessel,Left-choroid-plexus,Left-F3orb,Left-lOg,Left-aOg,Left-mOg
,Left-Cerebral-Exterior,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-Exterior,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,Left-Insula,Left-Operculum,Line-1,Line-2,Line-3,CSF,Left-Lesion,Left-Accumbens-area,Left-Substancia-Nigra,Left-VentralDC,Left-undetermined,Left-vessel,Left-choroid-plexus,Left-F3orb,Left-lOg,Left-aOg,Left-mOg
,Left-Cerebral-Exterior,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-Exterior,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,Left-Insula,Left-Operculum,Line-1,Line-2,Line-3,CSF,Left-Lesion,Left-Accumbens-area,Left-Substancia-Nigra,Left-VentralDC,Left-undetermined,Left-vessel,Left-choroid-plexus,Left-F3orb,Left-lOg,Left-aOg,Left-mOg
,Left-Cerebral-Exterior,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-Exterior,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,Left-Insula,Left-Operculum,Line-1,Line-2,Line-3,CSF,Left-Lesion,Left-Accumbens-area,Left-Substancia-Nigra,Left-VentralDC,Left-undetermined,Left-vessel,Left-choroid-plexus,Left-F3orb,Left-lOg,Left-aOg,Left-mOg
,Left-Cerebral-Exterior,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-Exterior,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,Left-Insula,Left-Operculum,Line-1,Line-2,Line-3,CSF,Left-Lesion,Left-Accumbens-area,Left-Substancia-Nigra,Left-VentralDC,Left-undetermined,Left-vessel,Left-choroid-plexus,Left-F3orb,Left-lOg,Left-aOg,Left-mOg
,Left-Cerebral-Exterior,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-Exterior,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,Left-Insula,Left-Operculum,Line-1,Line-2,Line-3,CSF,Left-Lesion,Left-Accumbens-area,Left-Substancia-Nigra,Left-VentralDC,Left-undetermined,Left-vessel,Left-choroid-plexus,Left-F3orb,Left-lOg,Left-aOg,Left-mOg
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Ventricle,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,Left-Accumbens,Left-Ventral-DC,Left-Vessel,Left-Choroid-Plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Ventricle,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens,Right-Ventral-DC,Right-Vessel
p_0,0.9825412643594774,0.8549638022793746,0.7030845256673989,0.9344039930187173,0.6281453838390243,0.8196378266319365,0.8516854123481776,0.9166487178428827,0.8821078932700397,0.8784770777945011,0.8928074225224887,0.8926192355645637,0.8233652296184905,0.9416936398955267,0.8012176551991703,0.8007880893152626,0.8486932541355348,0.8511897412758109,0.3908045527810859,0.5665835383212792,0.866968538436829,0.7158706822836525,0.9306129574100317,0.44268292412998217,0.8465134394832438,0.8856067763285422,0.9173426873365909,0.8793154901210671,0.87098935392616,0.8801875712070631,0.7803662153385427,0.803906041689348,0.8501362339908975,0.884449665903578,0.1558441356046577,0.5966887397460637
p_0,0.9818378044179934,0.8571624187552298,0.7271786188174553,0.9170326816818147,0.563186809318772,0.8595601726773585,0.865961632983607,0.9183259801369227,0.8734215568507713,0.898344099726484,0.8878048760802553,0.8893974042985064,0.8382467012446728,0.9343644147047645,0.8184454748468238,0.874364189027558,0.8169170794829322,0.8878680299771685,0.4098360319806531,0.5560391699889055,0.8597714752493308,0.725103356017352,0.9230008567067701,0.557267243420849,0.8600691412684343,0.8557905873490028,0.9204456483466151,0.8848182062310869,0.8677443050200262,0.8963346055850357,0.8319169019528642,0.8641975288884374,0.8379022596072571,0.8792862508015842,0.44274805780549176,0.5659683918928027
p_0,0.9746559942729622,0.7946072482800884,0.6591337338668065,0.8467727072119556,0.43757431108710687,0.8619537705881715,0.874877422107376,0.9263763248509098,0.830545990124759,0.8652727150935017,0.8925022563403292,0.8353253624325186,0.8355877829652939,0.9360625868747052,0.8185840700090573,0.8701393962579129,0.7928496277978463,0.8780582140237325,0.33663364670130463,0.5305810356989218,0.7979777677439114,0.6531049458950784,0.8406127532307711,0.39950061923220204,0.8664403522043547,0.8647458919314158,0.9221785093913336,0.7978661709406631,0.879424347932436,0.8978341699894243,0.829064189377422,0.8659469166307987,0.8699234792823809,0.8788321158719165,0.45070419361238073,0.5905963268887825
p_0,0.9792896010801413,0.8159401764369351,0.698830152302478,0.894492886439997,0.4450402105000875,0.8471286232073232,0.8744681783649526,0.9069389957345199,0.7102675052023333,0.8631804602532881,0.8678947345581717,0.8496637827817873,0.7406143323645781,0.9450119957926995,0.7915547017355521,0.840090655149608,0.7428867007610621,0.8667189767215346,0.6037735564257757,0.44435181140328545,0.8168459447371069,0.6982793825260292,0.8813920452458825,0.4038570595356945,0.8600066597202775,0.8912792095728249,0.8957006363483939,0.6750678212347354,0.8610264429845733,0.891332137838578,0.7803216643516352,0.8303413379763809,0.749687104194699,0.858755732260666,0.5272726793388474,0.44218094534996716
p_0,0.9772590727032096,0.8267044457518968,0.6647784786523553,0.9426059534639327,0.5712342721141302,0.780166079766201,0.819506318062011,0.9168953345636383,0.87568614694254,0.8843477617488115,0.8598772985033686,0.8908598154943094,0.7518164421571387,0.9296047948665175,0.7416539376591164,0.8050664170371751,0.80578252164813,0.8671253484550362,0.6060605693296625,0.5512437792661897,0.8238550861414825,0.6637889060468809,0.9378214313848281,0.6702208656884201,0.8038589669614593,0.7812115420767276,0.9227573666605495,0.8816452433093622,0.8734109759660418,0.8822227664563,0.8137407976647995,0.8377153193178745,0.8513708452282046,0.8855652163645621,0.5154638643851686,0.5869445952085995
p_0,0.9803426579469378,0.8304127621267476,0.689332150688109,0.9404628540478616,0.7092256972437162,0.8528581377725742,0.8662069716582443,0.9052456970728829,0.865313810373051,0.8600663079569759,0.8070562275478363,0.8946171319317231,0.758404018980823,0.9451649000625008,0.7900515339569218,0.8452488662285101,0.8482632489441606,0.8749696517662423,0.5882352249135029,0.5209160289437679,0.8322521615109579,0.6992777209333414,0.9413553488481327,0.5284450029807523,0.8502105904279453,0.8800829989000722,0.8763518627289717,0.8751383245341772,0.8653766489938004,0.7898666645603555,0.8205999991794001,0.8264070272467181,0.8160112302246403,0.8820097620168952,0.2499999609375061,0.46798815113240344
p_0,0.9746741817135733,0.8087569117347786,0.6905131911985818,0.7263407440723132,0.4082721787306726,0.8382203410815849,0.877759148784288,0.8118487444709033,0.7406051723516287,0.8554777104250246,0.8391123420270173,0.7787201203595986,0.7759446493455437,0.9194193451119428,0.7852065314263146,0.8223753954868096,0.8165793195970493,0.8732452086553487,0.5591397248236855,0.26474622589337293,0.7969002224888949,0.6776359638083074,0.7734093471879689,0.3219954612018655,0.8426337128395901,0.8918575302098807,0.8418849490442792,0.7458296743351299,0.8539082866794452,0.7878506821519808,0.8030206525311431,0.8412231011523826,0.8199892486835613,0.8835424651212875,0.0,0.3381259279220331
p_0,0.9794078413975045,0.8025089999053162,0.7047822114767293,0.8556328230257767,0.4205882291089966,0.8569561968463925,0.9081968280256492,0.90968818950418,0.8753783612597265,0.9089182853921651,0.9002752468764023,0.7787748701569455,0.7715773795171552,0.917967084310146,0.8381434896967851,0.7685054201591103,0.8263183317546282,0.8714243865357567,0.5234898977523559,0.48527807805191886,0.8017725691118519,0.6982490629108565,0.8733661274896387,0.40476189873866225,0.8525251229429287,0.9005164410733794,0.9286699393563911,0.8952939253417246,0.9101095298312291,0.9005440676810793,0.8729687219352013,0.8378615231422841,0.7824675282334008,0.8803846915644313,0.12244895460225415,0.5393165889694664
p_0,0.9787691956959184,0.7999932775721634,0.6849133517277011,0.9026008209951912,0.3214285650510206,0.8572133774968489,0.8953063561646408,0.9293440236079513,0.8633422146332869,0.8879438363116351,0.8285714266309803,0.8167632598450144,0.8590704631576641,0.9426655026088423,0.7758550480701801,0.8365410657724557,0.8337326265753108,0.8834394230580827,0.32911388239064776,0.5101058685750439,0.8079134637365633,0.6908430256023677,0.8968972200642787,0.28785046190933716,0.7909123408876678,0.8776040065693477,0.9286462058908777,0.8842546208139016,0.8882261228982403,0.8323647723907807,0.8347562124504305,0.8643815179722267,0.8382608647057341,0.879396450027206,0.4727271867768751,0.5404450705035497
p_0,0.979292442735318,0.8173968055290814,0.705655327526174,0.9141685458625514,0.1572580613456036,0.8378526034914303,0.9032683418673799,0.932792933922453,0.897354060643103,0.8953748216324408,0.815991796986182,0.7907368387758448,0.8500590304434829,0.9380487803118107,0.8058407905738665,0.8235557527461806,0.8627280588065679,0.8897878629602488,0.22222217283951712,0.5912930435913383,0.8227926973492431,0.7163341926380842,0.8846111167843054,0.27474746919702087,0.8333382088074954,0.899221597600757,0.9374922633138432,0.8878468142947961,0.8835871619820987,0.8066650311034916,0.8672998635302579,0.8550247099361106,0.8510843332477863,0.8828473582205589,0.5915492124578574,0.5659637049241604
